Paper, Year, Authors 
An Inside Look at Google BigQuery, 2012, Kazunori Sato 
MapReduce: Simplified Data Processing on Large Clusters, 2004, Jeffrey Dean|Sanjay Ghemawat 
Spark: Cluster Computing with Working Sets, 2010, Matei Zaharia | Mosharaf Chowdhury | Michael J. Franklin | Scott Shenker | Ion Stoica 
