2008 11 01 07 08 00       16.7999992
2008 11 01 07 24 00       16.6999989
2008 11 01 09 41 48       16.7600002
2008 11 01 10 29 45       16.6599998
2008 11 01 10 35 45       16.7600002
2008 11 01 18 24 45       16.8799992
2008 11 01 18 25 45       16.7299995
2008 11 01 21 12 45       16.8299999
2008 11 01 21 14 45       16.6900005
2008 11 01 21 50 45       16.7999992
2008 11 01 21 52 45       16.6299992
2008 11 01 21 56 45       16.7600002
2008 11 01 22 19 45       16.6599998
2008 11 01 22 26 45       16.8500004
2008 11 01 22 29 45       16.5699997
2008 11 01 22 32 45       16.7099991
2008 11 01 22 37 45       16.8400002
2008 11 01 22 39 45       16.6900005
2008 11 01 22 48 45       16.8999996
2008 11 01 22 51 45       16.7399998
2008 11 01 22 53 45       16.5699997
2008 11 01 22 56 45       16.6900005
2008 11 01 22 58 45       16.4599991
2008 11 01 23 04 45       16.7299995
2008 11 01 23 05 45       16.5299988
2008 11 01 23 07 45       16.3999996
2008 11 01 23 12 45       16.5499992
2008 11 01 23 33 45       16.6700001
2008 11 01 23 35 45       16.5200005
2008 11 01 23 39 45       16.6599998
2008 11 01 23 48 45       16.8799992
2008 11 01 23 51 45       16.6999989
2008 11 01 23 58 45       16.4200001
2008 11 02 00 00 45       16.5200005
2008 11 02 00 02 45       16.6399994
2008 11 02 00 57 45       16.7399998
2008 11 02 02 30 45       16.6299992
2008 11 02 02 32 45       16.7299995
2008 11 02 03 30 46       16.8299999
2008 11 02 03 34 46       16.6999989
2008 11 02 05 05 46       16.7999992
2008 11 02 05 08 46       16.6999989
2008 11 02 05 15 46       16.7999992
2008 11 02 05 24 46       16.6900005
2008 11 02 05 28 46       16.7999992
2008 11 02 06 30 46       16.6700001
2008 11 02 06 36 46       16.7700005
2008 11 02 13 04 13       16.6399994
2008 11 02 13 14 13       16.7600002
2008 11 02 23 20 13       16.8799992
2008 11 02 23 23 13       16.6999989
2008 11 02 23 57 13       16.8099995
2008 11 03 00 26 14       16.7099991
2008 11 03 01 12 13       16.8099995
2008 11 03 01 42 13       16.7099991
2008 11 03 02 02 13       16.8099995
2008 11 03 02 37 13       16.7099991
2008 11 03 02 55 13       16.8099995
2008 11 03 02 59 13       16.7099991
2008 11 03 03 37 13       16.8099995
2008 11 03 04 04 13       16.7099991
2008 11 03 05 03 13       16.8099995
2008 11 03 05 32 13       16.7099991
2008 11 03 05 46 13       16.8400002
2008 11 03 05 49 13       16.7399998
2008 11 03 06 21 13       16.8400002
2008 11 03 06 26 13       16.7399998
2008 11 03 12 18 13       17.1900005
2008 11 03 12 19 13       17.3999996
2008 11 03 12 20 13       18.1999989
2008 11 03 12 21 13       19.0799999
2008 11 03 12 22 13       19.8099995
2008 11 03 12 23 13       20.3400002
2008 11 03 12 24 13       20.7199993
2008 11 03 12 25 13       20.9799995
2008 11 03 12 26 13       21.1800003
2008 11 03 12 27 13       21.3299999
2008 11 03 12 28 13       21.4599991
2008 11 03 12 30 13       21.6700001
2008 11 03 12 32 13       21.8599987
2008 11 03 12 34 13       22.0299988
2008 11 03 12 35 13       22.1299992
2008 11 03 12 37 13       22.2999992
2008 11 03 12 41 13       22.3999996
2008 11 03 14 10 13       22.2999992
2008 11 03 14 15 13       22.1899986
2008 11 03 14 19 13       22.0699997
2008 11 03 14 23 13       21.9599991
2008 11 03 14 27 13       21.8400002
2008 11 03 14 32 13       21.6999989
2008 11 03 14 38 13       21.5699997
2008 11 03 14 43 13       21.4599991
2008 11 03 14 49 13       21.3299999
2008 11 03 14 55 13       21.1999989
2008 11 03 15 01 13       21.0900002
2008 11 03 15 06 13       20.9899998
2008 11 03 15 12 13       20.8899994
2008 11 03 15 19 13       20.7799988
2008 11 03 15 29 13       20.6499996
2008 11 03 15 34 13        20.539999
2008 11 03 15 38 13       20.3899994
2008 11 03 15 41 13       20.2299995
2008 11 03 15 43 13       20.1199989
2008 11 03 15 45 13       19.9599991
2008 11 03 15 47 13        19.789999
2008 11 03 15 49 13       19.5900002
2008 11 03 15 50 13       17.5200005
2008 11 03 15 51 13       15.9299994
2008 11 03 15 52 13       15.3800001
2008 11 03 15 53 13       15.1599998
2008 11 03 15 54 13       14.8299999
2008 11 03 15 55 13       14.6199999
2008 11 03 15 57 13       14.4499998
2008 11 03 16 00 13       14.6499996
2008 11 03 16 01 13       15.1999998
2008 11 03 16 03 13       15.4899998
2008 11 03 16 04 13       15.6599998
2008 11 03 16 06 13       15.8099995
2008 11 03 16 07 13       15.9499998
2008 11 03 16 09 13       16.1099987
2008 11 03 16 16 13       15.4399996
